"GEOID","B01001_001","B25001_001","B26001_001","receiptofssiorsnap","receiptofssiorsnapinfamilies","receiptofsnap","householdcashassistfoodorsnap","householdsnaponly","snapfamilyany","snapfamilysnap5p","householdreceiptoffoodstamps","householdw60psnap","householdw18msnap","householdmarriedsnap","householdmalehomesnap","householdfemalehomesnap","householdw1pdisabledsnap","percofsnapallocated","novehiclesavailable","lowaccesspopshare1","lowaccesspopshare10","lowaccesschildrenshare1","lowaccesschildrenshare10","lowaccessseniorsshare1","lowaccessseniorsshare10","lowaccesssnapshare1","lowaccesssnapshare10","groceryfoodstores","supercentersandfoodclubstores","conveniencestores","snapauthorizedfoodstores","fastfoodrestaurants","fullservicerestaurants","foodinsec","vlfoodsec","food_score","food_rnk","food_score1","food_score2","food_score3","food_score4","food_state_rnk","NAME"
"01001",59285,24731,503,24.459449752173,24.459449752173,75.540550247827,9.22168450028859,90.7783154997114,9.28288886053337,24.3810548977395,8.76437419526706,36.9300911854103,54.1033434650456,34.053275737941,11.3030957523398,54.6436285097192,46.9604863221885,1.68716423211828,1.69114374721851,68.5787483783427,9.38031114953462,26.6456136731889,23.434881293259,11.7326954517294,13.8253435810786,4.8841945105054,6.1388837736415,3.2174621635,1.072489364,33.24713269731,47.7094143365043,47.1894786595,33.24713269731,16.3,7.1,96.36,48.2258064516129,94.9,96.61,83.47,135.25,15.1515151515152,"Autauga County, Alabama"
"01003",239945,128518,3280,16.8687204998139,16.7159560508431,83.1312795001861,7.33289659981826,92.6671034001817,7.23607821280944,12.1613106490233,6.84685446207815,36.8055555555556,49.1820987654321,40.3307303628847,15.2044097381718,44.4648598989435,38.0401234567901,2.217831406775,1.25661620461191,72.6641070566334,1.26639129223846,23.1296942830263,22.3888738816131,16.4806737822931,16.9264465841647,3.04271315609719,3.33695236571866,33.533027586375,8.0941846575,136.44473240813,213.751632350082,180.38456167579,272.889465056205,16.3,7.1,83.22,21.3548387096774,83.17,113.55,95.41,135.25,1.51515151515152,"Baldwin County, Alabama"
"01005",24757,11702,3067,54.1658612023971,54.1658612023971,45.8341387976029,22.8083700440529,77.1916299559471,23.4891485809683,52.8901734104046,22.1696035242291,40.1887729756582,51.9622454048684,34.7232207045291,4.88856937455068,60.3882099209202,40.2881271733731,3.30396475770925,4.52290977798772,69.2207173783767,16.9059939941269,19.4685111926235,17.0392745230715,13.3479446858625,13.5532322870774,8.67045624099626,8.40292720518188,3.842166526606,0.9605418916,18.250290989,35.2691729323309,22.092457515606,13.447582843121,16.3,7.1,140.51,95.8064516129032,139.4,95.16,98.21,135.25,89.3939393939394,"Barbour County, Alabama"
"01007",22152,9090,1382,27.6297968397291,27.4717832957111,72.3702031602709,21.8993527935544,78.1006472064456,19.5098784194529,39.6160558464223,20.2747325320301,26.2540716612378,42.9315960912052,46.0625674217907,7.76699029126214,46.1704422869471,56.6775244299674,4.20023774930656,0.600528465049243,76.6307437233311,1.59345696276209,23.9034676716652,24.4154345519252,12.8793775346291,19.6119296592961,4.05661624370881,4.53320249789145,4.893739228872,0.9787484616,14.681217686616,17.753132168696,6.85123491156,6.85123491156,16.3,7.1,115.26,79.7096774193548,113.94,93.79,93.99,135.25,57.5757575757576,"Bibb County, Alabama"
"01009",59292,24793,572,23.7298005532101,22.9291017615373,76.2701994467899,13.5050279838012,86.4949720161988,10.8544,18.9798339264531,12.3128725485735,36.6223207686622,45.0110864745011,36.4423717521652,19.9200532978015,43.6375749500333,64.560236511456,5.24639395731902,1.26521842921938,88.7064663346831,0,24.7296024422633,0,13.9930894411808,0,3.54759754741401,0,5.150272754412,1.0300561992,27.811472850108,41.0522124351439,23.69125463472,12.360654586872,16.3,7.1,95.49,46.258064516129,94.23,93.83,89.99,135.25,12.1212121212121,"Blount County, Alabama"
"01011",10157,4554,1035,69.8812351543943,69.8812351543943,30.1187648456057,32.9278887923545,67.0721112076455,36.56117146906,35.5555555555556,32.9278887923545,33.245382585752,52.9463500439754,26.4857881136951,8.78552971576227,64.7286821705426,28.6719437115215,6.8056762235737,4.54288939051919,79.7990254437926,23.687078748926,21.4886974695646,21.6512414549203,12.8395110021337,18.8471206434598,8.0466137052414,9.0289716820272,2.9183986216,0,5.8367972432,10.0167652859961,2.9183986216,0.972799543919,16.3,7.1,163.29,99.2903225806452,161.36,92.16,91.51,135.25,95.4545454545455,"Bullock County, Alabama"
"01013",18807,9841,313,40.7916567907087,39.9620763214032,59.2083432092913,17.0338749655742,82.9661250344258,19.1013674842631,42.1658986175115,16.3729000275406,43.313708999159,46.6778805719092,38.8761467889908,4.47247706422018,56.651376146789,46.0050462573591,5.3291104378959,2.56619144602851,62.3532164529266,6.37179431369084,23.067745259647,20.2560397391209,16.3185659795484,19.4598687405864,7.33401247904194,6.6339459377795,2.82599548872,0.9419993739,20.723966948625,23.6372131147542,16.955972951127,8.477986484967,16.3,7.1,122.01,86.7096774193548,120.42,95.53,103.6,135.25,72.7272727272727,"Butler County, Alabama"
"01015",116141,53271,4020,36.6809751356605,35.5754434275532,63.3190248643395,17.9434903047091,82.0565096952909,18.4381469055607,24.6490927764464,17.205540166205,33.3075734157651,46.9216898505925,30.6143205858421,11.3913751017087,57.9943043124491,50.8629572385368,3.94016620498615,2.50289443216504,61.5730944149918,0,22.7790817572003,0,13.8273530300962,0,6.48502965300862,0,27.272630074168,4.0403944067,84.848182311017,137.674987797225,95.959253805509,75.757305580914,16.3,7.1,112.24,76,112.28,104.75,86.46,135.25,48.4848484848485,"Calhoun County, Alabama"
"01017",34450,16427,669,32.9457907269926,32.9457907269926,67.0542092730074,17.3112750577539,82.6887249422461,17.7752934600335,28.7047841306884,17.1398762948059,39.9565217391304,41.0869565217391,30.3765156349713,16.5283982131461,53.0950861518826,50.3478260869565,3.1969595349877,1.41556409162043,63.6119023010982,1.9865316469687,22.0961342895127,16.9386054604768,16.0401979529971,21.2425857940764,5.62766677106013,7.31367407802182,7.1521784178,1.02173877,22.4782750569,36.4463757798674,29.6304534747,18.39131594625,16.3,7.1,114.49,78.7741935483871,113.24,96.19,107.05,135.25,54.5454545454545,"Chambers County, Alabama"
"01019",25224,14663,283,22.3323492197385,21.8051455082244,77.6676507802615,11.5586522859597,88.4413477140403,10.9811375932154,20.5164992826399,11.4536603989692,35.3333333333333,50,54.9933422103862,17.4434087882823,27.5632490013316,53.25,3.01613057172855,0.929277120219114,92.6475063958594,0.349889303165859,21.4134647035289,20.6881596315518,17.8362346646978,13.3443055833379,6.48129990620726,5.61047896855173,4.89482263632,0.9789636192,17.621361490752,26.7454847816838,14.68446790896,11.747574327168,16.3,7.1,98.36,51.7096774193548,97.37,92.68,101.47,135.25,18.1818181818182,"Cherokee County, Alabama"
